City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,coyhaique,-45.5752,-72.0662,3.97,87,75,3.6,CL,1684953119
228,mersa matruh,31.3525,27.2453,21.11,73,40,3.6,EG,1684953119
229,la'ie,21.6477,-157.9253,26.98,75,27,3.13,US,1684953119
230,xining,36.6167,101.7667,8.88,67,100,1.59,CN,1684953119
231,shitanjing,39.2342,106.3439,14.16,36,100,9.97,CN,1684953120
232,nouadhibou,20.931,-17.0347,22.99,60,100,7.2,MR,1684953120
233,along,28.1667,94.7667,20.24,97,84,0.76,IN,1684953120
234,ponta delgada,37.7333,-25.6667,18.4,63,20,6.17,PT,1684953120
235,uzgen,40.7699,73.3007,16.16,68,94,2.98,KG,1684953120
236,kharp,66.8014,65.8081,11.66,68,0,2.16,RU,1684953120
237,middelharnis,51.7575,4.1653,15.56,66,51,2.24,NL,1684953084
238,bandon,51.7469,-8.7425,16.77,78,5,4.84,IE,1684953120
239,holualoa,19.6228,-155.9522,24.75,76,0,2.06,US,1684953041
240,ati,13.2154,18.3353,39.0,20,57,2.29,TD,1684953120
241,lompoc,34.6391,-120.4579,19.32,78,100,3.6,US,1684953089
242,ancud,-41.8697,-73.8203,9.88,79,100,8.68,CL,1684953121
243,aguazul,5.1728,-72.5471,30.07,70,98,0.97,CO,1684953121
244,malvan,16.0667,73.4667,28.25,77,19,2.99,IN,1684953121
245,rusera,25.75,86.0333,29.82,48,0,3.11,IN,1684953121
246,lexington,37.9887,-84.4777,27.19,34,0,3.6,US,1684952975
247,mordelles,48.0667,-1.85,19.08,55,0,7.72,FR,1684953121
248,kone,-21.0595,164.8658,16.86,77,12,2.25,NC,1684953010
249,chimoio,-19.1164,33.4833,20.92,88,20,1.3,MZ,1684953121
250,el limon,10.3059,-67.6321,33.62,63,86,1.21,VE,1684953122
251,thunder bay,48.4001,-89.3168,10.95,30,75,7.2,CA,1684953122
252,talnakh,69.4865,88.3972,-9.0,92,22,0.87,RU,1684953123
253,kargil,34.5667,76.1,4.49,73,100,2.9,IN,1684953123
254,camara de lobos,32.6333,-16.9667,20.4,85,75,0.89,PT,1684953123
255,minot,48.2325,-101.2963,27.12,47,0,10.29,US,1684953024
256,sinabang,2.4803,96.3801,26.68,82,65,1.25,ID,1684953124
257,praia da vitoria,38.7333,-27.0667,19.14,72,75,5.97,PT,1684953124
258,livingston,55.9029,-3.5226,17.11,61,20,5.14,GB,1684953110
259,manchester,53.4809,-2.2374,17.71,67,20,5.14,GB,1684953097
260,massawa,15.6097,39.45,31.75,74,3,1.46,ER,1684953124
261,port moresby,-9.4431,147.1797,23.68,94,75,5.14,PG,1684953125
262,pontianak,-0.0333,109.3333,25.99,100,100,1.03,ID,1684952843
263,bandarbeyla,9.4942,50.8122,27.97,77,64,9.41,SO,1684953125
264,queenstown,-31.8976,26.8753,13.66,27,100,3.37,ZA,1684953125
265,zaysan,47.4667,84.8667,13.81,40,0,4.12,KZ,1684953126
266,tres arroyos,-38.3739,-60.2798,20.3,66,100,3.29,AR,1684953126
267,kabare,-2.4683,28.8242,16.39,97,71,0.19,CD,1684953126
268,mahibadhoo,3.7833,72.9667,28.7,74,26,3.22,MV,1684953126
269,santana,-0.0583,-51.1817,30.1,79,75,3.09,BR,1684953127
270,matoury,4.8483,-52.3317,28.98,70,20,5.14,GF,1684953076
271,gdynia,54.5189,18.5319,19.81,73,0,4.12,PL,1684953127
272,pechora,65.1472,57.2244,15.5,65,52,3.63,RU,1684953127
273,kalna,23.2167,88.3667,27.87,83,42,1.56,IN,1684953128
274,karema,-6.8205,30.4389,24.61,73,31,0.59,TZ,1684953129
275,port lincoln,-34.7333,135.8667,15.58,81,100,7.25,AU,1684953130
276,lebu,-37.6167,-73.65,13.39,68,52,5.3,CL,1684953130
277,saint-philippe,-21.3585,55.7679,21.77,86,100,4.01,RE,1684953130
278,dakhla,23.6848,-15.958,21.01,64,9,9.26,EH,1684953131
279,megion,61.0296,76.1136,9.01,41,98,3.11,RU,1684953132
280,kimovsk,53.9716,38.5319,14.45,88,22,1.25,RU,1684953132
281,ta`u,-14.2336,-169.5144,26.88,79,100,1.58,AS,1684953132
282,vila velha,-20.3297,-40.2925,25.97,75,40,4.12,BR,1684953053
283,port pirie,-33.1833,138.0167,16.17,44,100,8.34,AU,1684953133
284,walvis bay,-22.9575,14.5053,13.94,88,45,1.03,NA,1684953133
285,stephenville,32.2207,-98.2023,26.07,66,75,2.57,US,1684953031
286,dunedin,-45.8742,170.5036,10.45,70,100,0.89,NZ,1684953006
287,chita,52.0333,113.55,6.94,56,32,4.0,RU,1684953134
288,hasaki,35.7333,140.8333,13.45,60,100,0.96,JP,1684953134
289,sandnessjoen,66.0217,12.6316,7.58,87,75,11.32,NO,1684953135
290,fuyang,32.9,115.8167,14.64,88,1,1.7,CN,1684953135
291,kuressaare,58.2481,22.5039,17.97,72,9,1.54,EE,1684953140
292,el porvenir,13.7617,-87.3458,33.63,44,90,3.23,HN,1684953140
293,belgrade,44.804,20.4651,20.81,79,20,2.57,RS,1684953141
294,khovd,48.0056,91.6419,9.54,54,89,1.64,MN,1684953141
295,son la,21.3167,103.9,21.27,96,100,0.97,VN,1684953141
296,al jawf,29.5,38.75,27.53,25,24,5.04,SA,1684953141
297,sidi akkacha,36.4647,1.3026,20.16,78,39,3.24,DZ,1684953142
298,mawu,29.5923,107.3139,18.86,84,95,1.71,CN,1684953143
299,carutapera,-1.195,-46.02,26.11,85,97,3.71,BR,1684953144
300,yaren,-0.5472,166.916,27.85,78,100,4.89,NR,1684953145
301,salahonda,2.1019,-78.7217,27.65,79,30,4.28,CO,1684953145
302,la ronge,55.1001,-105.2842,10.12,81,100,3.6,CA,1684953146
303,tynda,55.1667,124.7167,3.79,92,90,0.94,RU,1684953146
304,medicine hat,50.0501,-110.6683,15.24,67,100,5.66,CA,1684953146
